
        For lse-f-91.crs and lse-f-91.stu

Shift = 17	Min clashes = 94	at step 1
Exam	Slot	Clashes
1	1	0
2	2	0
3	1	0
4	3	0
5	4	0
6	2	0
7	2	0
8	2	0
9	1	0
10	1	0
11	2	0
12	2	0
13	3	0
14	2	0
15	3	0
16	4	0
17	5	0
18	6	0
19	7	0
20	8	0
21	4	0
22	3	0
23	3	0
24	2	0
25	5	0
26	5	0
27	2	0
28	6	0
29	4	0
30	7	0
31	8	0
32	9	0
33	2	0
34	2	0
35	3	0
36	10	0
37	3	0
38	11	0
39	12	0
40	13	0
41	14	0
42	15	0
43	1	0
44	4	0
45	1	0
46	7	0
47	5	0
48	2	0
49	6	0
50	1	0
51	1	0
52	0	0
53	3	0
54	10	0
55	2	0
56	1	0
57	4	0
58	5	0
59	12	0
60	9	0
61	1	0
62	2	0
63	8	0
64	6	0
65	3	0
66	13	0
67	2	0
68	3	0
69	0	0
70	2	0
71	6	0
72	6	0
73	11	0
74	1	0
75	3	0
76	1	0
77	7	0
78	2	0
79	1	0
80	9	0
81	2	0
82	1	0
83	4	0
84	8	0
85	5	0
86	8	0
87	2	0
88	1	0
89	4	0
90	5	0
91	3	0
92	6	0
93	6	0
94	10	0
95	1	0
96	11	0
97	3	0
98	2	0
99	2	0
100	6	0
101	7	0
102	11	0
103	0	0
104	1	0
105	5	0
106	6	0
107	3	0
108	1	0
109	11	0
110	6	0
111	1	0
112	2	0
113	1	0
114	1	0
115	2	0
116	8	0
117	2	0
118	5	0
119	7	0
120	1	0
121	1	0
122	1	0
123	1	0
124	9	0
125	3	0
126	4	0
127	4	0
128	4	0
129	5	0
130	0	0
131	0	0
132	1	0
133	13	0
134	7	0
135	2	0
136	4	0
137	0	0
138	5	0
139	2	0
140	6	0
141	7	0
142	14	0
143	9	0
144	2	0
145	5	0
146	11	0
147	1	0
148	0	0
149	4	0
150	1	0
151	3	0
152	10	0
153	0	0
154	3	0
155	12	0
156	1	0
157	1	0
158	1	0
159	2	0
160	3	0
161	0	0
162	1	0
163	2	0
164	1	0
165	1	0
166	2	0
167	0	0
168	0	0
169	1	0
170	2	0
171	3	0
172	1	0
173	1	0
174	1	0
175	1	0
176	1	0
177	4	0
178	0	0
179	0	0
180	2	0
181	1	0
182	2	0
183	5	0
184	6	0
185	0	0
186	1	0
187	0	0
188	1	0
189	0	0
190	7	0
191	10	0
192	1	0
193	4	0
194	1	0
195	1	0
196	4	0
197	2	0
198	15	0
199	7	0
200	6	0
201	16	0
202	0	4
203	3	0
204	10	0
205	1	0
206	0	3
207	1	0
208	2	0
209	3	0
210	5	0
211	6	0
212	3	0
213	3	0
214	2	0
215	1	0
216	3	0
217	1	0
218	3	0
219	4	0
220	1	0
221	3	0
222	10	0
223	12	0
224	8	0
225	2	0
226	4	0
227	1	0
228	1	0
229	16	0
230	3	0
231	2	0
232	3	0
233	4	0
234	6	0
235	1	0
236	7	0
237	5	0
238	5	0
239	9	0
240	5	0
241	0	10
242	10	0
243	8	0
244	6	0
245	1	0
246	1	0
247	0	0
248	5	0
249	1	0
250	7	0
251	1	0
252	6	0
253	11	0
254	12	0
255	0	0
256	0	0
257	0	6
258	1	0
259	2	0
260	1	0
261	1	0
262	0	0
263	1	0
264	2	0
265	1	0
266	0	0
267	13	0
268	0	8
269	11	0
270	9	0
271	8	0
272	2	0
273	3	0
274	4	0
275	0	0
276	5	0
277	1	0
278	9	0
279	6	0
280	2	0
281	5	0
282	0	8
283	9	0
284	3	0
285	10	0
286	1	0
287	7	0
288	4	0
289	0	11
290	1	0
291	3	0
292	2	0
293	11	0
294	4	0
295	1	0
296	3	0
297	4	0
298	6	0
299	5	0
300	5	0
301	2	0
302	7	0
303	2	0
304	8	0
305	0	0
306	14	0
307	1	0
308	2	0
309	3	0
310	1	0
311	2	0
312	3	0
313	4	0
314	3	0
315	5	0
316	0	0
317	6	0
318	5	0
319	6	0
320	5	0
321	4	0
322	4	0
323	9	0
324	0	0
325	2	0
326	3	0
327	5	0
328	7	0
329	8	0
330	1	0
331	1	0
332	6	0
333	8	0
334	3	0
335	0	8
336	0	8
337	12	0
338	4	0
339	10	0
340	7	0
341	8	0
342	2	0
343	3	0
344	1	0
345	2	0
346	3	0
347	1	0
348	12	0
349	9	0
350	0	8
351	0	8
352	5	0
353	3	0
354	8	0
355	2	0
356	10	0
357	6	0
358	11	0
359	2	0
360	4	0
361	0	7
362	13	0
363	1	0
364	3	0
365	3	0
366	16	0
367	0	0
368	10	0
369	15	0
370	2	0
371	5	0
372	2	0
373	0	5
374	1	0
375	13	0
376	0	0
377	9	0
378	5	0
379	1	0
380	4	0
381	0	0


Shift = 16	Min clashes = 34	at step 866
Exam	Slot	Clashes
1	0	4
2	5	0
3	0	2
4	15	0
5	9	1
6	14	0
7	7	0
8	13	1
9	0	0
10	6	1
11	12	0
12	11	0
13	2	0
14	9	0
15	3	0
16	4	0
17	5	0
18	13	0
19	15	0
20	7	0
21	4	0
22	8	0
23	4	0
24	6	1
25	1	2
26	1	2
27	2	0
28	6	3
29	14	0
30	7	0
31	1	2
32	8	0
33	2	1
34	3	0
35	11	1
36	9	1
37	13	1
38	10	0
39	3	0
40	13	0
41	4	0
42	5	1
43	6	1
44	3	0
45	6	0
46	11	1
47	6	0
48	3	0
49	16	0
50	9	0
51	11	0
52	8	0
53	9	0
54	11	1
55	9	1
56	4	0
57	10	0
58	12	0
59	3	0
60	6	3
61	1	0
62	11	0
63	1	0
64	7	0
65	16	0
66	13	0
67	16	0
68	0	1
69	10	0
70	6	0
71	10	0
72	4	0
73	16	0
74	2	1
75	16	1
76	13	0
77	14	1
78	10	1
79	9	1
80	16	1
81	2	0
82	5	1
83	12	0
84	10	1
85	14	1
86	0	1
87	0	1
88	6	0
89	12	0
90	6	0
91	14	0
92	10	1
93	11	0
94	1	1
95	8	0
96	12	0
97	7	0
98	5	0
99	3	0
100	1	0
101	15	0
102	15	0
103	9	0
104	0	1
105	7	0
106	6	0
107	9	1
108	15	0
109	12	0
110	16	0
111	12	0
112	14	0
113	1	0
114	15	0
115	13	0
116	8	0
117	3	0
118	1	0
119	2	0
120	5	0
121	6	0
122	1	0
123	1	1
124	16	0
125	2	0
126	5	0
127	0	0
128	11	0
129	13	0
130	14	0
131	0	0
132	2	2
133	5	1
134	6	1
135	3	0
136	10	0
137	6	0
138	2	1
139	2	1
140	7	0
141	8	0
142	9	1
143	13	1
144	2	0
145	4	0
146	5	3
147	12	0
148	11	0
149	9	0
150	11	0
151	14	0
152	15	0
153	1	0
154	0	0
155	0	4
156	4	0
157	10	0
158	12	0
159	10	0
160	11	0
161	0	0
162	15	0
163	6	0
164	11	0
165	3	0
166	5	0
167	5	0
168	0	0
169	1	0
170	3	0
171	13	0
172	12	0
173	9	0
174	3	0
175	16	0
176	15	0
177	0	0
178	1	0
179	6	0
180	4	0
181	12	0
182	15	0
183	0	0
184	13	0
185	3	0
186	15	0
187	14	0
188	1	0
189	0	0
190	10	0
191	3	0
192	5	0
193	9	0
194	3	0
195	12	0
196	11	0
197	6	0
198	2	2
199	2	0
200	1	1
201	8	0
202	1	2
203	11	0
204	13	1
205	10	1
206	13	0
207	7	0
208	2	0
209	12	0
210	5	0
211	10	0
212	10	0
213	3	0
214	2	0
215	1	0
216	3	0
217	1	0
218	3	0
219	0	0
220	5	0
221	10	0
222	2	0
223	8	0
224	2	2
225	11	0
226	3	0
227	16	0
228	1	0
229	16	0
230	16	0
231	1	2
232	12	0
233	11	0
234	10	0
235	16	0
236	8	0
237	4	0
238	5	0
239	9	0
240	7	0
241	15	0
242	14	0
243	0	0
244	2	0
245	9	0
246	16	0
247	12	0
248	14	0
249	9	1
250	7	0
251	13	0
252	14	0
253	6	0
254	7	0
255	11	0
256	0	0
257	12	1
258	14	0
259	14	0
260	2	0
261	5	0
262	4	0
263	0	0
264	8	0
265	11	0
266	4	0
267	10	4
268	11	1
269	12	0
270	5	0
271	12	0
272	12	0
273	13	0
274	2	0
275	3	0
276	14	0
277	1	0
278	3	0
279	8	0
280	3	0
281	16	0
282	10	0
283	0	1
284	16	0
285	11	0
286	8	0
287	6	0
288	10	0
289	9	7
290	1	0
291	8	0
292	9	0
293	13	0
294	15	0
295	16	0
296	1	0
297	0	0
298	4	0
299	5	0
300	7	0
301	8	0
302	7	0
303	13	0
304	8	0
305	0	0
306	9	0
307	7	0
308	15	0
309	0	0
310	4	0
311	12	0
312	1	0
313	16	0
314	10	0
315	6	0
316	0	0
317	8	0
318	11	0
319	3	1
320	0	3
321	12	0
322	10	0
323	0	2
324	3	0
325	3	0
326	9	0
327	4	0
328	7	0
329	13	1
330	16	0
331	13	0
332	1	1
333	15	0
334	6	0
335	12	1
336	6	3
337	15	0
338	12	0
339	5	0
340	11	0
341	1	1
342	6	0
343	5	0
344	16	0
345	6	0
346	4	0
347	8	0
348	8	0
349	11	0
350	13	1
351	13	4
352	2	0
353	4	0
354	10	0
355	8	0
356	7	0
357	14	0
358	15	0
359	5	0
360	14	0
361	6	1
362	1	3
363	1	0
364	4	0
365	8	0
366	14	0
367	7	0
368	1	0
369	3	1
370	12	0
371	4	0
372	2	0
373	7	0
374	12	0
375	4	0
376	0	0
377	15	0
378	14	0
379	4	0
380	2	0
381	7	0


Shift = 15	Min clashes = 42	at step 755
Exam	Slot	Clashes
